ticker,name,comparison,accuracy_delta,excess_delta,return_delta
0050.TW,????50 ETF,5??? vs 1??????,0.056210563533507396,0.2761654850804524,0.24357157581179356
0050.TW,????50 ETF,5??? vs 1??????,0.05094103568320285,0.8685684245129073,0.8359745152442486
0050.TW,????50 ETF,???????1??,-0.01822916666666674,-0.07216925898119642,-0.07216925898119642
0050.TW,????50 ETF,???????5??,-0.023498694516971286,0.5202336804512585,0.5202336804512586
006208.TW,???50 ETF,5??? vs 1??????,0.048742920292858094,-0.1053898775255026,-0.09897051209736457
006208.TW,???50 ETF,5??? vs 1??????,0.0330017958281531,0.0926891057792354,0.09910847120737348
006208.TW,???50 ETF,???????1??,0.01837270341207342,-0.1792550613028467,-0.17925506130284674
006208.TW,???50 ETF,???????5??,0.0026315789473684292,0.0188239220018913,0.018823922001891313
2330.TW,???,5??? vs 1??????,0.0012646866840730908,-0.20415898033249208,-0.23876352491801778
2330.TW,???,5??? vs 1??????,0.02213201697127931,0.32505314949160236,0.2904486049060768
2330.TW,???,???????1??,-0.0078125,-0.2721985967261491,-0.2721985967261491
2330.TW,???,???????5??,0.01305483028720622,0.2570135330979454,0.2570135330979455
2317.TW,??,5??? vs 1??????,0.07977116454554162,0.8738995776425702,0.8056497384003112
2317.TW,??,5??? vs 1??????,0.01442182822303939,0.2713509684111372,0.20310112916887824
2317.TW,??,???????1??,0.03655352480417756,0.173157106308518,0.17315710630851802
2317.TW,??,???????5??,-0.028795811518324665,-0.429391502922915,-0.42939150292291495
2454.TW,???,5??? vs 1??????,-0.024573863636363602,0.24137821349849461,0.19818755054072779
2454.TW,???,5??? vs 1??????,-0.042769209956709964,0.4713447512254397,0.42815408826767287
2454.TW,???,???????1??,0.012987012987012991,-0.06076203173132316,-0.06076203173132311
2454.TW,???,???????5??,-0.00520833333333337,0.1692045059956219,0.169204505995622
2308.TW,???,5??? vs 1??????,0.006534090909090962,-1.6971216534583293,-1.79072280590397
2308.TW,???,5??? vs 1??????,-0.0143262987012987,-1.6774939316786721,-1.7710950841243127
2308.TW,???,???????1??,-0.010389610389610338,0.2182418011743214,0.21824180117432168
2308.TW,???,???????5??,-0.03125,0.23786952295397867,0.2378695229539788
